id;adresse_email;code_statut;date_statut;code_usage_email
1;huddle minus phooey;libel upon whoa;2025-04-01;athwart
2;er lawful soulful;whoever abnormally forage;2025-04-01;pfft masculinize zowie
3;or an;haul self-confidence huddle;2025-04-01;whopping
4;off what;instead;2025-04-01;fence equate savour
5;quietly vision eek;whose overfeed;2025-04-02;gah
6;alive phew secondary;lest;2025-04-02;surprised carelessly
7;tinted needily;schedule phew expert;2025-04-01;ick transom slowly
8;free if unless;junior wrongly;2025-04-01;jungle round
9;probate inasmuch;ah within;2025-04-01;permafrost
10;selfishly though;squeaky step;2025-04-01;bulky proud case
