id;id_entreprise_rpg;code_partenaire_distributeur;numero_siret_siege;code_etat;libelle_etat;code_categorie_personne;libelle_categorie_personne;code_type;date_creation_juridique;date_etat;date_fermeture_juridique;code_tranche_effectif;libelle_tranche_effectif;date_cessation_activite;date_effectif_officiel;effectif_officiel;code_motif_cessation_activite;siren;code_forme_juridique;raison_sociale;code_categorie_juridique;code_idcc;code_ape
1;sailor brr stale;pleasure trash tensely;black;sniff redact;stratify supposing geez;imaginative victoriously enchanted;vivaciously swanling doubtfully;injunction;2025-04-01;2025-04-02;2025-04-01;intently taut aw;save drug failing;2025-04-01;2025-04-01;indeed sprinkles welcome;whose;moralise wherever mid;down eek;contravene breastplate;gestate hmph goose;readily after suburban;potentially
2;engender cheerfully likely;repeatedly;what save;unzip against duh;only bloom;or;rundown;oof buck;2025-04-01;2025-04-02;2025-04-01;wherever;easily;2025-04-01;2025-04-01;bookcase sedately;irritably;evince dwell;throughout councilman that;when amid for;ew peaceful edge;never obnoxiously furthermore;where warmly
3;an;er perfumed;pension whenever;priesthood dental dredger;millet ill exactly;conversation;stylish;woot;2025-04-01;2025-04-01;2025-04-02;considering quantify gestate;mosh ugh;2025-04-01;2025-04-01;kissingly thorny ostrich;place till;for that eek;window monstrous true;split;round speedy;quirkily neaten;ha that soon
4;awkwardly sheepishly corny;experienced lazily helpfully;considering robust;circle upward;vivaciously;phooey;store;than;2025-04-01;2025-04-01;2025-04-01;coin;gulp notwithstanding manage;2025-04-02;2025-04-01;apud thigh orchid;treble sundae;near until unless;ick rout;stunning private;defrag sauerkraut;by dreamily quarrel;before
5;hospitable sermon;indeed;carefully anenst weary;anxiously configuration after;how during;overcook fort overcooked;meh;after wherever mystify;2025-04-01;2025-04-01;2025-04-02;unfortunately;er upon;2025-04-02;2025-04-01;circa unless sans;circumference as why;suspiciously;in;now micromanage repeat;consequently cram publication;deeply epic;sadly
6;tattered;unlawful ick quietly;quietly quizzically blah;league;um controvert cute;out mmm;how alert;notarize sans;2025-04-01;2025-04-02;2025-04-01;who through grouper;as ha;2025-04-01;2025-04-01;oh or;mid birdbath;word shyly;colorfully babyish;boohoo deliberately superficial;hmph sparkling awesome;coexist impure;complete
7;geez sympathetically;meh thorn scrutinise;nor inscribe guilty;kick reopen by;consequently equally;uh-huh generously;utterly marksman;whether;2025-04-02;2025-04-01;2025-04-02;capsize consequently;though since fluff;2025-04-01;2025-04-01;uh-huh;ick woot wherever;nougat smoggy ick;tightly duh upbeat;notwithstanding ack upright;while blah yum;till mockingly hmph;hydrolyse bah overdub
8;instead;resort beneath;atop whoa;soulful variable;alert front finding;spook enlist within;honestly perfectly;inside unless marvelous;2025-04-02;2025-04-02;2025-04-01;at if queasily;cute;2025-04-01;2025-04-01;gee;different;who like monthly;minty loosely livid;besides meanwhile;ceramic;important whenever;rightfully unfurl duh
9;upward;infinite;oof;yum duh;amidst tentacle mentor;athwart;after aha doubtfully;amid ick ah;2025-04-02;2025-04-02;2025-04-01;aside bonnet;maul finally;2025-04-02;2025-04-02;reboot ideal although;phew eek jovially;on moralise;gosh;deceivingly;huzzah;throughout unbalance where;task
10;ick forgo mob;asset sans;lazily;freezing apropos beside;as dwell;daily;captain eyeliner brave;whose strange proselytise;2025-04-01;2025-04-01;2025-04-01;abnormally hmph swathe;because since oh;2025-04-01;2025-04-01;marketplace;those;phew a pink;till important male;provided psst brr;bitter;whose unsightly;pace joshingly
