id;id_etablissement_rpg;code_partenaire_distributeur;numero_siret_siege;code_etat;libelle_etat;code_categorie_personne;libelle_categorie_personne;code_type;date_creation_juridique;date_etat;date_fermeture_juridique;code_idcc;code_tranche_effectif;libelle_tranche_effectif;date_cessation_activite;date_effectif_officiel;effectif_officiel;code_motif_cessation_activite;siret;code_type_etablissement;libelle_enseigne;code_nic
1;gee annually ick;brr abnormally;trained typewriter;yahoo zowie;digestive;because;arraign;often caring;the detain;by fork abaft;doubtfully joshingly miserable;encode;bah convoke austere;unbalance;pastel digital opposite;softly;puny defensive;incidentally till acidly;uh-huh notarize where;quirkily monstrous crushing;backbone querulous if;needy
2;testimonial upbeat blaspheme;entwine;sermon amidst galoshes;spotless tributary meanwhile;delightfully;exterior substitution shoot;quintessential where ascribe;er;athwart;disclosure hyphenation mountain;even square before;faint knuckle smarten;floss video;incandescence breastplate;cloudy seriously mid;adviser colour;eke;heavenly fantastic;shaft duh provided;far-off absent;where boohoo past;wherever upwardly whose
3;electronics;or off capitalise;worth filthy;tomatillo;dark;thoughtfully;if supposing;or truly governance;dislocate;unto broken democratize;noted;cautiously verify;heavily knottily when;snowplow yum too;atop near psst;very pro aside;whole undergo boohoo;inside ew;scornful lest;yippee;triumphantly;boring fooey
4;phooey behind heavily;from;that mundane unaccountably;astonishing;hence youthfully;that finally lobotomise;commemorate hypothesise;vice athwart;via ignorant rebuff;whether surge;despite;where alongside yahoo;deep;duffel fond;aw hm till;as;nicely um;overload wherever collectivization;defiantly;kinase;regular;second
5;amongst among fooey;after puritan ick;phooey yippee;quaintly rapidly yet;drat;as;ironclad guilt militate;innovate;about pear;before procrastinate;blah;inveigle freely;cruelly government ouch;blissfully knottily obnoxiously;courteous ah recommendation;why pro about;butter;showy;ouch wealthy;gosh;afore micromanage;whoa lightly
6;so;hence translation;wholly other;amnesty suddenly however;calmly carboxyl aw;waist tensely acidly;tired;fortunately massive total;scramble;gosh barring;whoever ha dreamily;lest;wallaby ew siege;hoof crooked near;during;release zowie mantua;seldom yum;phew mostly;settle;obligation save hm;likewise;ouch
7;ack;boo;outlandish coexist fluffy;worth immaculate;ah;ectoderm supposing joyful;personal;other;phooey given;ack rekindle talkative;ew gee;unfurl hourly neaten;ha owlishly upliftingly;supposing;longboat;unto;zowie mechanically;weird permafrost;perfection;boohoo;ew whereas;hippodrome uh-huh
8;infatuated;decryption;yowza whether like;over fooey frenetically;drive able;until;shyly;lovingly bidet;insert flimsy;underneath;phrase as politely;because finally;urgently gosh;unless since sour;yuck yuck;almighty ah;between annually whenever;admonish quart;through;hence coolly remark;till;dash duh
9;grass;atomize raw;greedily joshingly incidentally;nor spotless that;although;slide unnaturally successfully;knowingly so;transom;tiny splash hastily;meanwhile;pace opposite;cuddly;huzzah lest;passport um broken;gleefully ugh;a;hence;avaricious knit derby;whenever certify pile;ouch vivid bah;sew overcooked;aw
10;allocation cork;unfinished;within equally apropos;uncover;whereas;emphasize truthfully inasmuch;only boyfriend;quickly often venom;feather;hoarse;catalog;whenever anesthetize frantically;of hmph;fondly;mundane shush amidst;lazily fluctuate;unto knavishly;cruel for along;enthusiastically;including;unlike whimsical inquisitively;while
